11001,"Worked perfectly for my weekend project.",5,5005,90001
11002,"Heavy duty, but got the job done.",4,5010,90002
11003,"Battery died faster than I expected.",3,5002,90003
11004,"This thing is a beast. Absolutely essential.",5,5015,90004
11005,"Started right up, no issues.",5,5020,90005
11006,"A bit underpowered for what I needed.",3,5030,90006
11007,"User-friendly controls. Dug a trench in no time.",5,5001,90007
11008,"Blade was a little dull.",4,5012,90008
11009,"Cut through everything like butter.",5,5022,90009
11010,"Very quiet, as advertised. Powered my whole campsite.",5,5033,90010
11011,"This saved me so much time and back pain. 10/10.",5,5005,90011
11012,"A bit wobbly at full extension.",3,5018,90012
11013,"Sturdy and reliable.",5,5025,90013
11014,"Clogged a few times, but the finish was great.",4,5038,90014
11015,"My lawn has never looked better.",5,5003,90015
11016,"Tough to get started, but powerful.",4,5007,90016
11017,"Made short work of my garden plot.",5,5011,90017
11018,"Dust collection bag is too small.",4,5014,90018
11019,"Good for getting close to the wall.",4,5019,90019
11020,"Cut through the concrete slab easily.",5,5023,90020
11021,"Vibration is intense, but it breaks concrete well.",4,5027,90021
11022,"Easy to set up and made clean cuts.",5,5031,90022
11023,"Saved me a huge plumbing bill. A must-rent.",5,5035,90023
11024,"Water tray is a bit messy.",3,5040,90024
11025,"Rented this for storm cleanup, worked great.",5,5001,90025
11026,"The rolling stand is a game changer.",5,5004,90026
11027,"This machine is terrifying, but it works.",5,5008,90027
11028,"Ate up branches like nothing.",5,5013,90028
11029,"I'll never dig by hand again.",5,5016,90029
11030,"Felt very safe, controls were smooth.",5,5021,90030
11031,"Drilled a 4-inch hole in my foundation, no problem.",5,5024,90031
11032,"Packed the gravel down perfectly.",5,5028,90032
11033,"Heated my garage workshop in minutes.",5,5032,90033
11034,"Dried out my flooded basement in two days.",5,5036,90034
11035,"Lit up the whole backyard for a night project.",5,5039,90035
11036,"So much more powerful than my electric one.",4,5006,90036
11037,"Easy to use, split a whole cord of wood.",5,5009,90037
11038,"Cleaned the warehouse floors nicely.",4,5017,90038
11039,"Broke up hard clay soil easily.",5,5026,90039
11040,"Pumped all the standing water out of my yard.",5,5029,90040