"123 Main St","Columbus"
"456 Oak Ave","Cleveland"
"789 Pine Ln","Cincinnati"
"101 Maple Dr","Toledo"
"202 Birch Rd","Akron"
"303 Cedar Pl","Dayton"
"404 Elm Ct","Parma"
"505 Spruce Way","Canton"
"606 Willow Bv","Youngstown"
"707 Redwood St","Lorain"
"808 Aspen Ave","Hamilton"
"909 Sequoia Dr","Springfield"
"111 Juniper Ln","Kettering"
"222 Cypress Rd","Elyria"
"333 Poplar Pl","Lakewood"
"444 Holly Ct","Cuyahoga Falls"
"555 Cherry Way","Middletown"
"666 Sycamore Bv","Euclid"
"777 Magnolia St","Newark"
"888 Dogwood Ave","Mansfield"
"999 Palm Dr","Mentor"
"121 Fig Ln","Beavercreek"
"232 Orange Rd","Strongsville"
"343 Lemon Pl","Fairborn"
"454 Lime Ct","Findlay"
"565 Grape Way","Warren"
"676 Peach Bv","Lancaster"
"787 Plum St","Dublin"
"898 Kiwi Ave","Westerville"
"100 Mango Dr","Grove City"
"210 Papaya Ln","Reynoldsburg"
"321 Berry Rd","Delaware"
"432 Melon Pl","Hilliard"
"543 Guava Ct","Marion"
"654 Lychee Way","Upper Arlington"
"765 Fig Bv","Brunswick"
"876 Pear St","Massillon"
"987 Coconut Ave","Gahanna"
"191 Date Dr","Fairfield"
"282 Olive Ln","Stow"